Roll No,Marks Lab report (Out of 20),Marks Mid-Semester (Out of 40),Total Marks,Total Marks Percentage,Batch
200523,17.25,18.0,35.25,58.75,Y20
200375,11.0,20.0,31.0,51.666666666666664,Y20
200790,17.625,22.4,40.025,66.70833333333333,Y20
201108,15.375,28.4,43.775,72.95833333333333,Y20
200183,12.875,15.2,28.075,46.791666666666664,Y20
201163,18.0,10.8,28.8,48.0,Y20
201027,15.625,24.8,40.425,67.37499999999999,Y20
200040,16.125,31.6,47.725,79.54166666666667,Y20
200713,12.25,35.2,47.45,79.08333333333333,Y20
200547,7.875,22.8,30.675,51.125,Y20
200274,16.0,37.2,53.2,88.66666666666667,Y20
200909,17.125,30.4,47.525,79.20833333333333,Y20
200275,16.0,20.8,36.8,61.33333333333333,Y20
200778,16.875,36.8,53.675,89.45833333333333,Y20
200337,15.125,30.0,45.125,75.20833333333333,Y20
200162,18.0,39.2,57.2,95.33333333333333,Y20
200951,14.625,30.4,45.025,75.04166666666667,Y20
200005,19.0,29.2,48.2,80.33333333333333,Y20
200191,18.5,24.4,42.9,71.5,Y20
200899,16.625,31.2,47.825,79.70833333333333,Y20
200979,0.0,26.4,26.4,44.0,Y20
200103,15.125,22.8,37.925,63.20833333333333,Y20
200874,14.125,29.2,43.325,72.20833333333333,Y20
200144,19.75,38.8,58.55,97.58333333333333,Y20
200230,18.125,19.6,37.725,62.875,Y20
200050,19.375,32.8,52.175,86.95833333333333,Y20
200479,17.625,30.4,48.025,80.04166666666667,Y20
200934,16.875,24.4,41.275,68.79166666666667,Y20
201082,17.75,32.4,50.15,83.58333333333333,Y20
200305,19.125,24.4,43.525,72.54166666666667,Y20
200437,15.375,17.6,32.975,54.958333333333336,Y20
200952,17.375,26.8,44.175,73.625,Y20
201111,8.5,18.8,27.3,45.5,Y20
201131,15.25,26.4,41.65,69.41666666666667,Y20
200054,11.375,30.8,42.175,70.29166666666667,Y20
200277,18.375,16.4,34.775,57.958333333333336,Y20
200921,7.0,24.8,31.8,53.0,Y20
201035,11.625,29.6,41.225,68.70833333333333,Y20
200652,17.5,24.0,41.5,69.16666666666667,Y20
200935,17.375,32.4,49.775,82.95833333333333,Y20
200854,16.0,26.4,42.4,70.66666666666667,Y20
201120,16.0,26.0,42.0,70.0,Y20
201010,17.125,35.6,52.725,87.875,Y20
